time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-11 00:00:00+00:00,1,1,21,2
2023-12-12 00:00:00+00:00,7,5,49,10
2023-12-13 00:00:00+00:00,24,5,59,5
2023-12-14 00:00:00+00:00,44,10,179,11
2023-12-15 00:00:00+00:00,2,2,13,2
2023-12-16 00:00:00+00:00,0,0,3,1
2023-12-17 00:00:00+00:00,16,6,25,4
2023-12-18 00:00:00+00:00,12,6,32,4
2023-12-19 00:00:00+00:00,15,4,94,10
2023-12-20 00:00:00+00:00,29,5,70,6
2023-12-21 00:00:00+00:00,24,6,42,2
2023-12-22 00:00:00+00:00,1,1,4,1
2023-12-24 00:00:00+00:00,14,5,186,13
2023-12-25 00:00:00+00:00,31,10,191,4
2023-12-26 00:00:00+00:00,29,6,58,8
2023-12-27 00:00:00+00:00,38,12,62,10
2023-12-28 00:00:00+00:00,18,8,39,8
2023-12-29 00:00:00+00:00,8,7,1,1
2023-12-30 00:00:00+00:00,8,7,1,1
2023-12-31 00:00:00+00:00,17,6,36,10
2024-01-01 00:00:00+00:00,7,6,7,4
2024-01-02 00:00:00+00:00,12,5,57,18
2024-01-03 00:00:00+00:00,12,5,78,10
2024-01-04 00:00:00+00:00,4,3,26,5
2024-01-05 00:00:00+00:00,3,3,0,0
2024-01-06 00:00:00+00:00,3,3,0,0
2024-01-07 00:00:00+00:00,5,3,47,6
2024-01-08 00:00:00+00:00,6,5,56,6
2024-01-09 00:00:00+00:00,3,3,55,5
2024-01-10 00:00:00+00:00,3,2,40,6
